coub,sex,edu_lfs,occ_1d,occ_other,skill_occ,overqualified,oecd,regionb,oecdb,fborn,number
ABW,1,1,,USA_35,2,99,1,SCAC,0,1,57
ABW,1,1,,USA_37,2,99,1,SCAC,0,1,18
ABW,1,1,,USA_41,2,99,1,SCAC,0,1,114
ABW,1,1,,USA_43,2,99,1,SCAC,0,1,25
ABW,1,1,,USA_45,2,99,1,SCAC,0,1,3
ABW,1,1,,USA_47,2,99,1,SCAC,0,1,76
ABW,1,1,,USA_49,2,99,1,SCAC,0,1,13
ABW,1,1,,USA_51,2,99,1,SCAC,0,1,75
ABW,1,1,,USA_53,2,99,1,SCAC,0,1,55
ABW,1,2,2,,3,99,1,SCAC,0,1,69
ABW,1,2,3,,3,99,1,SCAC,0,1,480
ABW,1,2,4,,2,99,1,SCAC,0,1,10
ABW,1,2,,USA_11,3,99,1,SCAC,0,1,437
ABW,1,2,,USA_13,3,99,1,SCAC,0,1,158
ABW,1,2,,USA_15,3,99,1,SCAC,0,1,43
ABW,1,2,,USA_17,3,99,1,SCAC,0,1,79
ABW,1,2,,USA_19,3,99,1,SCAC,0,1,106
ABW,1,2,,USA_21,3,99,1,SCAC,0,1,30
ABW,1,2,,USA_25,3,99,1,SCAC,0,1,24
ABW,1,2,,USA_27,3,99,1,SCAC,0,1,65
ABW,1,2,,USA_31,2,99,1,SCAC,0,1,182
ABW,1,2,,USA_37,2,99,1,SCAC,0,1,103
ABW,1,2,,USA_39,2,99,1,SCAC,0,1,44
ABW,1,2,,USA_41,2,99,1,SCAC,0,1,379
ABW,1,2,,USA_43,2,99,1,SCAC,0,1,711
ABW,1,2,,USA_47,2,99,1,SCAC,0,1,372
ABW,1,2,,USA_49,2,99,1,SCAC,0,1,57
ABW,1,2,,USA_51,2,99,1,SCAC,0,1,381
ABW,1,2,,USA_53,2,99,1,SCAC,0,1,257
ABW,1,3,1,,3,0,1,SCAC,0,1,112
ABW,1,3,2,,3,0,1,SCAC,0,1,170
ABW,1,3,3,,3,0,1,SCAC,0,1,3
ABW,1,3,5,,2,1,1,SCAC,0,1,21
ABW,1,3,6,,2,1,1,SCAC,0,1,3
ABW,1,3,7,,2,1,1,SCAC,0,1,3
ABW,1,3,,USA_11,3,0,1,SCAC,0,1,1024
ABW,1,3,,USA_13,3,0,1,SCAC,0,1,305
ABW,1,3,,USA_15,3,0,1,SCAC,0,1,384
ABW,1,3,,USA_17,3,0,1,SCAC,0,1,210
ABW,1,3,,USA_19,3,0,1,SCAC,0,1,48
ABW,1,3,,USA_21,3,0,1,SCAC,0,1,25
ABW,1,3,,USA_23,3,0,1,SCAC,0,1,76
ABW,1,3,,USA_25,3,0,1,SCAC,0,1,306
ABW,1,3,,USA_27,3,0,1,SCAC,0,1,71
ABW,1,3,,USA_29,3,0,1,SCAC,0,1,364
ABW,1,3,,USA_31,2,1,1,SCAC,0,1,5
ABW,1,3,,USA_33,2,1,1,SCAC,0,1,254
ABW,1,3,,USA_39,2,1,1,SCAC,0,1,21
ABW,1,3,,USA_41,2,1,1,SCAC,0,1,402
ABW,1,3,,USA_43,2,1,1,SCAC,0,1,286
ABW,1,3,,USA_47,2,1,1,SCAC,0,1,21
ABW,1,3,,USA_49,2,1,1,SCAC,0,1,57
ABW,1,3,,USA_51,2,1,1,SCAC,0,1,206
ABW,1,3,,USA_53,2,1,1,SCAC,0,1,372
ABW,2,1,6,,2,99,1,SCAC,0,1,65
ABW,2,1,9,,1,99,1,SCAC,0,1,1
ABW,2,1,,USA_31,2,99,1,SCAC,0,1,108
ABW,2,1,,USA_35,2,99,1,SCAC,0,1,39
ABW,2,1,,USA_37,2,99,1,SCAC,0,1,136
ABW,2,1,,USA_41,2,99,1,SCAC,0,1,101
ABW,2,1,,USA_43,2,99,1,SCAC,0,1,43
ABW,2,1,,USA_51,2,99,1,SCAC,0,1,22
ABW,2,1,,USA_53,2,99,1,SCAC,0,1,75
